stn;time;gre000m0;hto000m0;nto000m0;prestam0;sre000m0;tre200mn;tre200mx;ure200m0;rre150m0;tre200m0
OTL;188012;-;-;-;-;-;-;-;-;53.6;6.3
OTL;188101;-;-;-;-;-;-;-;-;114.1;1.3
OTL;188102;-;-;-;-;-;-;-;-;23.3;5.0
OTL;188103;-;-;-;-;-;-;-;-;28.9;8.9
OTL;188104;-;-;-;-;-;-;-;-;202.3;11.4
OTL;188105;-;-;-;-;-;-;-;-;85.0;15.3
OTL;188106;-;-;-;-;-;-;-;-;87.0;18.6
OTL;188107;-;-;-;-;-;-;-;-;24.5;23.9
OTL;188108;-;-;-;-;-;-;-;-;156.0;22.4
OTL;188109;-;-;-;-;-;-;-;-;340.5;15.9
OTL;188110;-;-;-;-;-;-;-;-;98.2;9.8
OTL;188111;-;-;-;-;-;-;-;-;158.5;7.4
OTL;188112;-;-;-;-;-;-;-;-;103.9;3.7
OTL;188201;-;-;-;-;-;-;-;-;15.0;3.5
OTL;188202;-;-;-;-;-;-;-;-;25.4;5.2
OTL;188203;-;-;-;-;-;-;-;-;125.0;9.9
OTL;188204;-;-;-;-;-;-;-;-;150.5;11.3
OTL;188205;-;-;-;-;-;-;-;-;-;15.3
OTL;188206;-;-;-;-;-;-;-;-;-;18.8
OTL;188207;-;-;-;-;-;-;-;-;-;20.8
OTL;188208;-;-;-;-;-;-;-;-;-;20.4
OTL;188209;-;-;-;-;-;-;-;-;-;14.9
OTL;188210;-;-;-;-;-;-;-;-;-;12.0
OTL;188211;-;-;-;-;-;-;-;-;-;6.6
OTL;188212;-;-;-;-;-;-;-;-;-;4.2
OTL;188301;-;-;-;-;-;-;-;-;152.0;3.2
OTL;188302;-;-;-;-;-;-;-;-;53.0;7.0
OTL;188303;-;-;-;-;-;-;-;-;63.0;4.7
OTL;188304;-;-;-;-;-;-;-;-;132.0;10.9
OTL;188305;-;-;-;-;-;-;-;-;256.0;15.7
OTL;188306;-;-;-;-;-;-;-;-;198.0;18.1
OTL;188307;-;-;-;-;-;-;-;-;251.0;20.1
OTL;188308;-;-;-;-;-;-;-;-;69.0;20.4
OTL;188309;-;-;-;-;-;-;-;-;280.0;16.5
OTL;188310;-;-;-;-;-;-;-;-;114.0;10.9
OTL;188311;-;-;-;-;-;-;-;-;41.0;6.2
OTL;188312;-;-;-;-;-;-;-;-;6.0;2.8
OTL;188401;-;-;-;-;-;-;-;-;10.0;4.0
OTL;188402;-;-;-;-;-;-;-;-;24.0;5.2
OTL;188403;-;-;-;-;-;-;-;-;16.0;9.5
OTL;188404;-;-;-;-;-;-;-;-;198.0;11.3
OTL;188405;-;-;-;-;-;-;-;-;228.0;17.0
OTL;188406;-;-;-;-;-;-;-;-;154.0;16.8
OTL;188407;-;-;-;-;-;-;-;-;190.0;22.1
OTL;188408;-;-;-;-;-;-;-;-;97.0;21.6
OTL;188409;-;-;-;-;-;-;-;-;211.0;17.1
OTL;188410;-;-;-;-;-;-;-;-;40.0;10.9
OTL;188411;-;-;-;-;-;-;-;-;4.0;5.4
OTL;188412;-;-;-;-;-;-;-;-;60.0;4.1
OTL;188501;-;-;-;-;-;-;-;-;87.0;1.4
OTL;188502;-;-;-;-;-;-;-;-;166.0;5.0
OTL;188503;-;-;-;-;-;-;-;-;105.0;8.0
OTL;188504;-;-;-;-;-;-;-;-;366.0;11.4
OTL;188505;-;-;-;-;-;-;-;-;189.0;13.5
OTL;188506;-;-;-;-;-;-;-;-;32.0;21.3
OTL;188507;-;-;-;-;-;-;-;-;180.0;22.3
OTL;188508;-;-;-;-;-;-;-;-;132.0;20.5
OTL;188509;-;-;-;-;-;-;-;-;367.0;16.7
OTL;188510;-;-;-;-;-;-;-;-;470.0;10.2
OTL;188511;-;-;-;-;-;-;-;-;134.0;7.5
OTL;188512;-;-;-;-;-;-;-;-;13.0;2.4
OTL;188601;-;-;-;-;-;-;-;-;192.0;1.9
OTL;188602;-;-;-;-;-;-;-;-;36.0;3.0
OTL;188603;-;-;-;-;-;-;-;-;29.0;6.6
OTL;188604;-;-;-;-;-;-;-;-;219.0;11.9
OTL;188605;-;-;-;-;-;-;-;-;329.0;15.5
OTL;188606;-;-;-;-;-;-;-;-;92.0;18.2
OTL;188607;-;-;-;-;-;-;-;-;225.0;21.2
OTL;188608;-;-;-;-;-;-;-;-;206.0;20.0
OTL;188609;-;-;-;-;-;-;-;-;61.0;18.5
OTL;188610;-;-;-;-;-;-;-;-;389.0;12.6
OTL;188611;-;-;-;-;-;-;-;-;414.0;7.1
OTL;188612;-;-;-;-;-;-;-;-;288.0;2.8
OTL;188701;-;-;-;-;-;-;-;-;90.0;0.1
OTL;188702;-;-;-;-;-;-;-;-;6.0;2.0
OTL;188703;-;-;-;-;-;-;-;-;59.0;7.0
OTL;188704;-;-;-;-;-;-;-;-;204.0;10.1
OTL;188705;-;-;-;-;-;-;-;-;150.0;13.3
OTL;188706;-;-;-;-;-;-;-;-;174.0;20.6
OTL;188707;-;-;-;-;-;-;-;-;174.0;22.7
OTL;188708;-;-;-;-;-;-;-;-;293.0;20.8
OTL;188709;-;-;-;-;-;-;-;-;292.0;16.4
OTL;188710;-;-;-;-;-;-;-;-;113.0;9.0
OTL;188711;-;-;-;-;-;-;-;-;273.0;5.7
OTL;188712;-;-;-;-;-;-;-;-;41.0;1.9
OTL;188801;-;-;-;-;-;-;-;-;1.0;2.1
OTL;188802;-;-;-;-;-;-;-;-;237.0;2.5
OTL;188803;-;-;-;-;-;-;-;-;291.0;4.7
OTL;188804;-;-;-;-;-;-;-;-;310.0;9.7
OTL;188805;-;-;-;-;-;-;-;-;102.0;16.4
OTL;188806;-;-;-;-;-;-;-;-;258.0;19.2
OTL;188807;-;-;-;-;-;-;-;-;278.0;18.9
OTL;188808;-;-;-;-;-;-;-;-;218.0;19.4
OTL;188809;-;-;-;-;-;-;-;-;242.0;17.2
