stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;ure200m0;sre000m0;tre200mn;tre200mx
LUG;188805;-;-;56;985.2;107.2;16.7;69.0;14976;6.2;26.8
LUG;188806;-;-;54;982.2;292.9;19.7;70.9;14034;8.5;31.0
LUG;188807;-;-;53;980.6;235.3;19.7;70.8;15378;9.0;28.9
LUG;188808;-;-;35;985.1;145.6;20.4;64.9;16908;9.5;32.2
LUG;188809;-;-;68;987.1;301.9;17.9;80.4;8364;9.5;26.2
LUG;188810;-;-;42;985.2;81.5;10.5;75.0;11382;0.8;24.2
LUG;188811;-;-;69;986.0;277.5;6.3;85.1;4578;-1.5;17.0
LUG;188812;-;-;42;989.9;112.1;2.5;86.5;7560;-5.4;13.1
LUG;188901;-;-;48;987.1;47.4;1.3;81.4;6984;-7.0;13.4
LUG;188902;-;-;39;975.1;9.3;2.4;61.2;10218;-6.3;14.4
LUG;188903;-;-;54;980.3;118.4;6.4;62.7;10566;-4.0;20.2
LUG;188904;-;-;59;975.5;382.1;10.2;68.6;10134;0.8;23.4
LUG;188905;-;-;78;980.6;168.2;15.9;80.4;7368;8.1;27.2
LUG;188906;-;-;65;982.3;183.5;20.2;76.1;12228;11.0;29.7
LUG;188907;-;-;40;982.6;279.6;21.0;69.5;18252;12.0;31.2
LUG;188908;-;-;39;983.8;294.7;20.3;77.2;17100;8.6;29.7
LUG;188909;-;-;39;982.7;125.8;16.7;75.8;13812;3.5;28.7
LUG;188910;-;-;75;980.3;587.0;12.0;86.3;5112;2.5;20.5
LUG;188911;-;-;37;991.1;46.6;6.3;82.4;9102;-3.4;20.8
LUG;188912;-;-;54;989.9;69.4;1.3;80.3;6588;-6.2;10.8
LUG;189001;-;-;38;988.8;26.3;3.2;82.8;8406;-3.3;15.6
LUG;189002;-;-;47;988.0;23.9;2.2;76.2;8106;-6.7;12.6
LUG;189003;-;-;50;980.9;164.2;7.3;67.9;10530;-7.1;24.6
LUG;189004;-;-;63;977.0;160.2;10.9;67.0;8880;0.8;22.7
LUG;189005;-;-;61;979.0;340.1;15.7;76.8;11772;4.5;27.6
LUG;189006;-;-;37;984.0;259.6;19.7;64.9;17574;7.6;30.0
LUG;189007;-;-;40;982.4;367.8;20.1;70.3;16494;9.5;31.3
LUG;189008;-;-;47;982.5;375.8;20.6;74.7;15324;8.7;31.2
LUG;189009;-;-;43;989.5;295.4;16.9;74.7;12186;7.3;25.2
LUG;189010;-;-;44;986.2;14.1;11.6;73.4;10626;-1.1;24.4
LUG;189011;-;-;46;980.2;38.2;6.0;79.6;7032;-2.5;15.5
LUG;189012;-;-;61;982.8;93.9;0.3;82.5;4488;-9.2;8.2
LUG;189101;-;-;30;984.6;1.9;-0.8;71.8;9150;-11.8;7.8
LUG;189102;-;-;16;995.7;0.0;2.7;67.4;12462;-7.5;21.3
LUG;189103;-;-;62;979.9;196.7;6.5;71.5;9300;-3.4;17.5
LUG;189104;-;-;58;979.8;139.0;10.6;60.9;10920;0.1;20.8
LUG;189105;-;-;71;979.2;393.7;14.7;77.6;8814;2.5;25.7
LUG;189106;-;-;49;983.7;128.2;19.5;70.5;14670;8.5;32.6
LUG;189107;-;-;44;982.3;269.9;21.3;74.3;17082;11.5;32.7
LUG;189108;-;-;51;983.0;281.4;19.5;78.2;14382;8.5;30.0
LUG;189109;-;-;29;987.3;117.9;17.9;77.7;16146;5.0;28.6
LUG;189110;-;-;69;982.9;401.1;13.5;86.5;6576;-1.8;23.0
LUG;189111;-;-;57;982.9;237.0;6.0;86.0;6498;-3.5;14.0
LUG;189112;-;-;34;989.1;73.8;2.8;77.0;8940;-7.5;13.6
LUG;189201;-;-;56;979.5;57.8;2.0;77.4;5820;-6.0;13.8
LUG;189202;-;-;55;977.5;193.8;4.5;72.1;6996;-4.0;16.4
LUG;189203;-;-;56;980.4;177.2;5.4;71.6;9828;-5.0;18.7
LUG;189204;-;-;51;979.7;113.3;12.7;63.5;11700;1.5;26.2
LUG;189205;-;-;48;982.4;55.0;16.4;67.7;15258;4.0;29.8
LUG;189206;-;-;52;982.9;277.9;20.6;70.3;15024;10.0;32.0
LUG;189207;-;-;45;982.2;110.9;21.6;69.5;17748;10.0;31.9
LUG;189208;-;-;37;984.5;85.1;21.7;73.1;17274;11.0;34.3
LUG;189209;-;-;45;985.4;212.7;18.2;75.7;12468;7.5;27.8
LUG;189210;-;-;68;980.3;477.4;11.3;84.4;6408;-0.5;22.3
LUG;189211;-;-;58;988.6;72.8;6.8;87.7;5202;-3.5;16.6
