stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx;ure200m0
GRH;190105;-;-;-;-;-;-;-;-;-;-
GRH;190106;-;-;-;-;-;-;-;-;-;-
GRH;190107;-;-;-;-;-;-;-;-;-;-
GRH;190108;-;-;-;-;-;-;-;-;-;-
GRH;190109;-;-;-;-;-;-;-;-;-;-
GRH;190110;-;-;-;-;-;-;-;-;-;-
GRH;190111;-;-;-;-;-;-;-;-;-;-
GRH;190112;-;-;-;-;-;-;-;-;-;-
GRH;190201;-;-;-;-;-;-;-;-;-;-
GRH;190202;-;-;-;-;-;-;-;-;-;-
GRH;190203;-;-;-;-;-;-;-;-;-;-
GRH;190204;-;-;-;-;-;-;-;-;-;-
GRH;190205;-;-;-;-;-;-;-;-;-;-
GRH;190206;-;-;-;-;-;-;-;-;-;-
GRH;190207;-;-;-;-;-;-;-;-;-;-
GRH;190208;-;-;-;-;-;-;-;-;-;-
GRH;190209;-;-;-;-;-;-;-;-;-;-
GRH;190210;-;-;-;-;-;-;-;-;-;-
GRH;190211;-;-;-;-;-;-;-;-;-;-
GRH;190212;-;-;-;-;-;-;-;-;-;-
GRH;190301;-;-;-;-;-;-;-;-;-;-
GRH;190302;-;-;-;-;-;-;-;-;-;-
GRH;190303;-;-;-;-;-;-;-;-;-;-
GRH;190304;-;-;-;-;-;-;-;-;-;-
GRH;190305;-;-;-;-;-;-;-;-;-;-
GRH;190306;-;-;-;-;-;-;-;-;-;-
GRH;190307;-;-;-;-;-;-;-;-;-;-
GRH;190308;-;-;-;-;-;-;-;-;-;-
GRH;190309;-;-;-;-;-;-;-;-;-;-
GRH;190310;-;-;-;-;-;-;-;-;-;-
GRH;190311;-;-;-;-;-;-;-;-;-;-
GRH;190312;-;-;-;-;-;-;-;-;-;-
GRH;190401;-;-;-;-;-;-;-;-;-;-
GRH;190402;-;-;-;-;-;-;-;-;-;-
GRH;190403;-;-;-;-;-;-;-;-;-;-
GRH;190404;-;-;-;-;-;-;-;-;-;-
GRH;190405;-;-;-;-;-;-;-;-;-;-
GRH;190406;-;-;-;-;-;-;-;-;-;-
GRH;190407;-;-;-;-;-;-;-;-;-;-
GRH;190408;-;-;-;-;-;-;-;-;-;-
GRH;190409;-;-;-;-;-;-;-;-;-;-
