stn;time;gre000m0;hto000m0;nto000m0;prestam0;ure200m0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx
CHM;189112;-;-;-;-;-;111.4;0.3;-;-;-
CHM;189201;-;-;-;-;-;49.4;-2.3;-;-;-
CHM;189202;-;-;-;-;-;69.1;-1.1;-;-;-
CHM;189203;-;-;-;-;-;65.7;-2.0;-;-;-
CHM;189204;-;-;-;-;-;40.4;5.6;-;-;-
CHM;189205;-;-;-;-;-;41.9;9.3;-;-;-
CHM;189206;-;-;-;-;-;112.9;12.4;-;-;-
CHM;189207;-;-;-;-;-;210.1;13.7;-;-;-
CHM;189208;-;-;-;-;-;54.9;15.7;-;-;-
CHM;189209;-;-;-;-;-;93.3;12.1;-;-;-
CHM;189210;-;-;-;-;-;146.2;5.4;-;-;-
CHM;189211;-;-;-;-;-;36.3;4.4;-;-;-
CHM;189212;-;-;-;-;-;60.6;-2.9;-;-;-
CHM;189301;-;-;-;-;-;31.6;-6.2;-;-;-
CHM;189302;-;-;-;-;-;78.4;-0.7;-;-;-
CHM;189303;-;-;-;-;-;51.6;3.3;-;-;-
CHM;189304;-;-;-;-;-;0.0;10.7;-;-;-
CHM;189305;-;-;-;-;-;51.4;9.5;-;-;-
CHM;189306;-;-;-;-;-;82.9;13.2;-;-;-
CHM;189307;-;-;-;-;-;110.1;13.9;-;-;-
CHM;189308;-;-;-;-;-;27.5;16.2;-;-;-
CHM;189309;-;-;-;-;-;136.9;11.1;-;-;-
CHM;189310;-;-;-;-;-;92.4;8.3;-;-;-
CHM;189311;-;-;-;-;-;70.0;0.0;-;-;-
CHM;189312;-;-;-;-;-;22.3;-1.1;-;-;-
CHM;189401;-;-;-;-;-;30.9;-2.6;-;-;-
CHM;189402;-;-;-;-;-;21.3;-0.8;-;-;-
CHM;189403;-;-;-;-;-;30.4;2.1;-;-;-
CHM;189404;-;-;-;-;-;34.3;7.6;-;-;-
CHM;189405;-;-;-;-;-;117.8;7.5;-;-;-
CHM;189406;-;-;-;-;-;73.2;11.2;-;-;-
CHM;189407;-;-;-;-;-;168.3;14.4;-;-;-
CHM;189408;-;-;-;-;-;93.2;13.5;-;-;-
CHM;189409;-;-;-;-;-;85.0;9.4;-;-;-
CHM;189410;-;-;-;-;-;143.7;5.9;-;-;-
CHM;189411;-;-;-;-;-;52.5;3.2;-;-;-
CHM;189412;-;-;-;-;-;45.0;-2.2;-;-;-
CHM;189501;-;-;-;-;-;95.0;-7.3;-;-;-
CHM;189502;-;-;-;-;-;40.9;-7.8;-;-;-
CHM;189503;-;-;-;-;-;119.0;-0.9;-;-;-
CHM;189504;-;-;-;-;-;79.4;6.4;-;-;-
CHM;189505;-;-;-;-;-;51.7;8.9;-;-;-
CHM;189506;-;-;-;-;-;72.2;12.4;-;-;-
CHM;189507;-;-;-;-;-;119.1;14.4;-;-;-
CHM;189508;-;-;-;-;-;144.1;14.1;-;-;-
CHM;189509;-;-;-;-;-;15.5;16.3;-;-;-
CHM;189510;-;-;-;-;-;140.4;5.4;-;-;-
CHM;189511;-;-;-;-;-;122.9;5.1;-;-;-
CHM;189512;-;-;-;-;-;124.6;-1.1;-;-;-
CHM;189601;-;-;-;-;-;25.6;-2.6;-;-;-
CHM;189602;-;-;-;-;-;7.7;0.1;-;-;-
CHM;189603;-;-;-;-;-;143.4;3.3;-;-;-
CHM;189604;-;-;-;-;-;70.8;2.2;-;-;-
CHM;189605;-;-;-;-;-;23.8;7.4;-;-;-
CHM;189606;-;-;-;-;-;181.9;11.8;-;-;-
CHM;189607;-;-;-;-;-;145.1;14.3;-;-;-
CHM;189608;-;-;-;-;-;129.1;11.0;-;-;-
CHM;189609;-;-;-;-;-;213.5;9.6;-;-;-
CHM;189610;-;-;-;-;-;173.6;4.1;-;-;-
CHM;189611;-;-;-;-;-;41.7;-0.9;-;-;-
CHM;189612;-;-;-;-;-;89.4;-1.9;-;-;-
CHM;189701;-;-;-;-;-;31.3;-3.0;-;-;-
CHM;189702;-;-;-;-;-;107.7;2.1;-;-;-
CHM;189703;-;-;-;-;-;89.1;2.9;-;-;-
CHM;189704;-;-;-;-;-;115.0;4.1;-;-;-
CHM;189705;-;-;-;-;-;76.7;6.9;-;-;-
CHM;189706;-;-;-;-;-;90.2;14.1;-;-;-
CHM;189707;-;-;-;-;-;69.4;14.6;-;-;-
CHM;189708;-;-;-;-;-;183.9;13.8;-;-;-
CHM;189709;-;-;-;-;-;209.2;9.5;-;-;-
CHM;189710;-;-;-;-;-;5.0;6.3;-;-;-
CHM;189711;-;-;-;-;-;29.5;4.9;-;-;-
