stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;ure200m0;sre000m0;tre200m0;tre200mn;tre200mx
SAE;188910;-;-;68;745.8;142.1;87.5;5064;-2.0;-;-
SAE;188911;-;-;43;753.6;98.3;61.1;9624;-3.1;-;-
SAE;188912;-;-;40;747.9;71.8;77.6;8592;-8.0;-;-
SAE;189001;-;-;59;749.7;245.9;82.8;6624;-5.1;-;-
SAE;189002;-;-;26;745.4;9.0;71.5;13656;-8.0;-;-
SAE;189003;-;-;53;743.1;94.4;82.4;9774;-5.9;-;-
SAE;189004;-;-;69;741.7;260.9;80.4;9594;-3.2;-;-
SAE;189005;-;-;68;746.9;166.6;81.1;9774;0.8;-;-
SAE;189006;-;-;76;753.9;328.6;87.3;8262;1.3;-;-
SAE;189007;-;-;75;753.6;239.9;87.2;7974;3.3;-;-
SAE;189008;-;-;72;753.9;351.6;85.0;9876;4.7;-;-
SAE;189009;-;-;50;757.3;24.2;74.8;11910;1.8;-;-
SAE;189010;-;-;57;751.1;292.1;70.4;9636;-2.2;-;-
SAE;189011;-;-;70;743.2;289.6;88.2;5370;-6.3;-;-
SAE;189012;-;-;32;741.1;15.6;61.3;11028;-8.4;-;-
SAE;189101;-;-;48;742.5;110.5;75.1;8832;-11.6;-;-
SAE;189102;-;-;19;754.5;21.3;45.9;14628;-6.3;-;-
SAE;189103;-;-;76;740.7;148.4;84.0;5988;-7.9;-;-
SAE;189104;-;-;75;742.9;186.8;88.7;7458;-6.6;-;-
SAE;189105;-;-;73;746.5;134.0;85.1;9852;0.1;-;-
SAE;189106;-;-;77;753.1;201.1;82.5;10128;2.9;-;-
SAE;189107;-;-;84;754.0;363.3;91.3;6750;3.4;-;-
SAE;189108;-;-;75;753.5;303.5;87.8;9474;3.1;-;-
SAE;189109;-;-;49;757.0;145.2;68.2;13926;4.3;-;-
SAE;189110;-;-;42;749.7;56.9;69.6;12876;1.2;-;-
SAE;189111;-;-;54;744.9;124.4;73.5;8280;-4.5;-;-
SAE;189112;-;-;56;749.4;346.6;76.7;6798;-5.7;-;-
SAE;189201;-;-;70;740.8;226.4;82.4;5034;-8.5;-18.2;-
SAE;189202;-;-;75;738.9;266.7;87.8;5226;-7.6;-17.6;-
SAE;189203;-;-;48;741.1;52.8;75.7;11862;-8.8;-23.2;-
SAE;189204;-;-;62;746.1;106.5;78.1;10056;-2.9;-13.5;-
SAE;189205;-;-;67;750.4;174.6;79.8;10800;-0.5;-14.1;-
SAE;189206;-;-;82;754.0;451.2;87.6;6822;2.8;-3.4;-
SAE;189207;-;-;65;754.4;362.2;84.9;13470;4.6;-3.2;-
SAE;189208;-;-;58;756.6;180.9;75.5;15102;6.8;-2.2;-
SAE;189209;-;-;64;755.5;203.4;88.5;9468;3.4;-6.0;-
SAE;189210;-;-;81;745.2;232.6;85.2;4602;-1.8;-12.6;-
SAE;189211;-;-;54;751.3;88.6;76.8;7746;-2.2;-9.3;-
SAE;189212;-;-;50;742.8;133.3;77.9;7470;-8.1;-16.5;-
SAE;189301;-;-;53;740.0;139.1;71.2;7344;-11.5;-26.3;-
SAE;189302;-;-;70;742.4;233.5;79.6;4164;-7.4;-13.3;-
SAE;189303;-;-;56;749.8;149.5;62.2;11394;-5.2;-15.1;-
SAE;189304;-;-;40;751.7;17.0;56.9;16890;-0.5;-10.4;-
SAE;189305;-;-;72;750.4;213.2;80.1;8736;-1.1;-11.7;-
SAE;189306;-;-;72;752.7;199.6;75.8;9690;2.8;-4.7;-
SAE;189307;-;-;77;753.6;348.4;73.1;9120;4.8;-1.9;-
SAE;189308;-;-;56;757.4;124.8;66.6;14880;5.8;-2.5;-
SAE;189309;-;-;75;752.0;253.7;79.4;6510;2.4;-5.5;-
SAE;189310;-;-;57;752.1;142.9;62.9;9000;0.7;-8.4;-
SAE;189311;-;-;60;743.9;172.0;70.5;5292;-5.4;-14.6;-
SAE;189312;-;-;44;748.2;81.5;66.9;7020;-6.5;-15.4;-
SAE;189401;-;-;49;744.5;60.4;70.4;7626;-8.8;-21.3;-
SAE;189402;-;-;63;748.3;286.8;76.9;6258;-8.3;-17.5;-
SAE;189403;-;-;51;745.5;133.0;73.3;11754;-6.8;-15.2;-
SAE;189404;-;-;62;746.6;28.7;81.1;11100;-1.9;-7.3;-
SAE;189405;-;-;73;746.8;339.4;89.1;8064;-0.8;-8.8;-
SAE;189406;-;-;77;753.4;528.5;90.4;6606;1.6;-6.5;-
SAE;189407;-;-;66;755.3;328.9;84.3;11808;5.4;-1.0;-
SAE;189408;-;-;70;755.5;335.6;85.2;9282;4.3;-3.7;-
SAE;189409;-;-;73;752.6;308.1;88.8;6174;1.0;-8.5;-
SAE;189410;-;-;71;748.1;175.5;88.9;5844;-2.6;-10.6;-
SAE;189411;-;-;40;750.8;64.0;69.4;10014;-2.6;-12.4;-
SAE;189412;-;-;56;745.3;146.6;75.1;6534;-8.6;-16.8;-
SAE;189501;-;-;71;731.2;54.1;89.7;4110;-14.3;-27.0;-
SAE;189502;-;-;54;736.0;46.1;75.9;8526;-13.8;-25.5;-
SAE;189503;-;-;69;739.4;141.1;82.3;7194;-8.7;-22.3;-
SAE;189504;-;-;65;746.3;130.2;84.4;9846;-3.3;-12.8;-
SAE;189505;-;-;73;750.2;226.5;86.7;9744;-1.0;-11.5;-
SAE;189506;-;-;73;753.8;247.3;89.3;9372;2.8;-5.8;-
SAE;189507;-;-;64;755.2;176.2;82.9;13008;5.6;-2.5;-
SAE;189508;-;-;64;756.1;231.0;84.0;11580;4.5;-3.6;-
SAE;189509;-;-;30;760.3;26.5;66.9;15660;6.7;-4.5;-
SAE;189510;-;-;67;746.7;216.2;82.1;8400;-2.5;-13.2;-
SAE;189511;-;-;60;751.1;171.1;75.4;7794;-1.3;-8.2;-
SAE;189512;-;-;72;740.6;392.6;88.4;4518;-8.4;-18.4;-
SAE;189601;-;-;36;750.8;72.7;66.9;10710;-7.7;-23.2;-
SAE;189602;-;-;36;751.9;58.8;60.5;10986;-5.5;-18.5;-
SAE;189603;-;-;76;744.2;452.2;90.0;5244;-6.3;-14.3;-
SAE;189604;-;-;84;747.0;303.7;92.6;5580;-7.8;-14.7;-
SAE;189605;-;-;66;749.1;86.1;86.1;11736;-2.4;-8.7;-
SAE;189606;-;-;75;752.4;245.3;86.1;9402;2.9;-1.9;-
SAE;189607;-;-;68;755.5;300.1;84.5;10758;5.2;-2.5;-
SAE;189608;-;-;87;752.3;303.2;94.5;5166;1.8;-5.3;-
SAE;189609;-;-;75;750.9;460.0;90.4;6276;1.2;-6.7;-
SAE;189610;-;-;53;745.7;84.2;77.8;10896;-2.1;-11.0;-
SAE;189611;-;-;50;745.3;71.1;72.4;8178;-6.0;-14.7;-
SAE;189612;-;-;68;742.3;99.2;79.9;3672;-7.4;-16.7;-
SAE;189701;-;-;66;738.9;38.7;76.6;5274;-9.5;-23.5;-
SAE;189702;-;-;69;750.7;362.8;77.1;6000;-5.9;-14.7;-
SAE;189703;-;-;86;743.2;309.3;93.0;3648;-6.6;-14.3;-
SAE;189704;-;-;77;744.7;261.4;88.7;7944;-4.7;-13.2;-
SAE;189705;-;-;77;746.3;189.7;91.8;7704;-2.7;-11.8;-
SAE;189706;-;-;63;755.4;318.5;82.9;12336;4.8;-6.3;-
SAE;189707;-;-;76;754.9;378.6;84.3;9990;5.5;-2.0;-
SAE;189708;-;-;65;754.6;367.6;87.4;11310;5.2;-2.1;-
SAE;189709;-;-;70;752.7;289.6;87.2;8100;1.5;-8.0;-
SAE;189710;-;-;47;753.4;45.2;67.2;11250;-1.1;-13.2;-
SAE;189711;-;-;32;754.6;23.1;59.5;11904;-2.0;-17.9;-
SAE;189712;-;-;42;748.3;80.8;63.5;10158;-5.7;-13.7;-
SAE;189801;-;-;38;756.6;51.3;53.7;10374;-3.2;-10.1;-
