stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
RAG;188410;-;-;-;957.0;93.0;7.7;-;-;-;-
RAG;188411;-;-;-;959.4;23.5;1.6;-;-;-;-
RAG;188412;-;-;-;953.4;118.0;1.3;-;-;-;-
RAG;188501;-;-;-;954.2;2.0;-4.2;-;-;-;-
RAG;188502;-;-;-;953.2;48.6;4.7;-;-;-;-
RAG;188503;-;-;-;953.2;38.0;5.0;-;-;-;-
RAG;188504;-;-;-;946.6;64.0;11.0;-;-;-;-
RAG;188505;-;-;-;952.0;153.5;10.9;-;-;-;-
RAG;188506;-;-;-;955.5;45.5;18.3;-;-;-;-
RAG;188507;-;-;-;958.2;177.5;19.2;-;-;-;-
RAG;188508;-;-;-;953.2;165.5;16.8;-;-;-;-
RAG;188509;-;-;-;955.4;363.5;13.7;-;-;-;-
RAG;188510;-;-;-;945.7;230.0;7.8;-;-;-;-
RAG;188511;-;-;-;943.1;113.0;4.4;-;-;-;-
RAG;188512;-;-;-;950.2;6.0;-1.4;-;-;-;-
RAG;188601;-;-;-;938.2;46.5;-0.6;-;-;-;-
RAG;188602;-;-;-;944.7;26.5;-2.1;-;-;-;-
RAG;188603;-;-;-;945.2;23.4;3.6;-;-;-;-
RAG;188604;-;-;-;942.2;104.0;10.6;-;-;-;-
RAG;188605;-;-;-;945.8;139.5;14.4;-;-;-;-
RAG;188606;-;-;-;943.7;194.0;14.4;-;-;-;-
RAG;188607;-;-;-;946.6;252.0;18.4;-;-;-;-
RAG;188608;-;-;-;946.6;252.5;17.4;-;-;-;-
RAG;188609;-;-;-;948.4;54.0;16.0;-;-;-;-
RAG;188610;-;-;-;945.4;93.5;11.5;-;-;-;-
RAG;188611;-;-;-;946.1;103.0;4.8;-;-;-;-
RAG;188612;-;-;-;939.6;79.0;1.5;-;-;-;-
RAG;188701;-;-;-;947.4;21.5;-5.7;-;-;-;-
RAG;188702;-;-;-;952.8;5.5;-1.0;-;-;-;-
RAG;188703;-;-;-;945.2;62.0;1.7;-;-;-;-
RAG;188704;-;-;-;942.2;12.5;8.7;-;-;-;-
RAG;188705;-;-;-;943.5;189.0;10.4;-;-;-;-
RAG;188706;-;-;-;947.8;95.0;17.3;-;-;-;-
RAG;188707;-;-;-;947.2;101.0;19.0;-;-;-;-
RAG;188708;-;-;-;945.8;209.0;16.1;-;-;-;-
RAG;188709;-;-;-;945.0;79.0;13.2;-;-;-;-
RAG;188710;-;-;-;946.5;70.5;5.8;-;-;-;-
RAG;188711;-;-;-;939.2;41.5;5.9;-;-;-;-
RAG;188712;-;-;-;942.9;180.5;-1.1;-;-;-;-
RAG;188801;-;-;-;951.5;47.5;-2.2;-;-;-;-
RAG;188802;-;-;-;939.2;121.5;-0.5;-;-;-;-
RAG;188803;-;-;-;936.5;142.0;3.5;-;-;-;-
RAG;188804;-;-;-;940.4;203.0;7.0;-;-;-;-
RAG;188805;-;-;-;946.4;78.5;13.8;-;-;-;-
RAG;188806;-;-;-;944.1;102.0;15.8;-;-;-;-
RAG;188807;-;-;-;944.4;321.5;15.6;-;-;-;-
RAG;188808;-;-;-;948.1;282.3;16.1;-;-;-;-
RAG;188809;-;-;-;949.8;263.0;14.7;-;-;-;-
RAG;188810;-;-;-;948.2;207.0;6.8;-;-;-;-
RAG;188811;-;-;-;947.1;105.5;5.3;-;-;-;-
RAG;188812;-;-;-;949.8;0.0;0.8;-;-;-;-
RAG;188901;-;-;-;950.2;15.4;-2.2;-;-;-;-
RAG;188902;-;-;-;940.9;138.0;-1.8;-;-;-;-
RAG;188903;-;-;-;944.8;79.5;2.0;-;-;-;-
RAG;188904;-;-;-;939.9;144.5;8.0;-;-;-;-
RAG;188905;-;-;-;942.7;83.5;15.5;-;-;-;-
RAG;188906;-;-;-;945.4;179.5;18.0;-;-;-;-
RAG;188907;-;-;-;946.4;208.0;17.3;-;-;-;-
RAG;188908;-;-;-;947.6;241.5;16.6;-;-;-;-
RAG;188909;-;-;-;947.4;175.0;12.5;-;-;-;-
RAG;188910;-;-;-;942.5;282.5;9.6;-;-;-;-
RAG;188911;-;-;-;953.1;24.5;2.7;-;-;-;-
RAG;188912;-;-;-;952.1;23.5;-3.3;-;-;-;-
RAG;189001;-;-;-;950.5;84.0;2.3;-;-;-;-
RAG;189002;-;-;-;949.2;3.0;-2.2;-;-;-;-
RAG;189003;-;-;-;944.1;69.0;4.0;-;-;-;-
RAG;189004;-;-;-;940.5;107.0;9.1;-;-;-;-
RAG;189005;-;-;-;941.9;48.5;14.8;-;-;-;-
RAG;189006;-;-;-;948.5;289.2;15.3;-;-;-;-
RAG;189007;-;-;-;946.8;296.5;15.5;-;-;-;-
RAG;189008;-;-;-;946.6;769.0;16.8;-;-;-;-
RAG;189009;-;-;-;951.8;106.0;13.4;-;-;-;-
RAG;189010;-;-;-;949.7;160.0;7.0;-;-;-;-
RAG;189011;-;-;-;944.3;116.5;3.5;-;-;-;-
RAG;189012;-;-;-;944.0;4.5;-4.6;-;-;-;-
RAG;189101;-;-;-;-;-;-;-;-;-;-
RAG;189102;-;-;-;-;-;-;-;-;-;-
RAG;189103;-;-;-;-;-;-;-;-;-;-
RAG;189104;-;-;-;-;-;-;-;-;-;-
RAG;189105;-;-;-;-;-;-;-;-;-;-
RAG;189106;-;-;-;-;-;-;-;-;-;-
RAG;189107;-;-;-;-;-;-;-;-;-;-
RAG;189108;-;-;-;-;-;-;-;-;-;-
RAG;189109;-;-;-;-;-;-;-;-;-;-
RAG;189110;-;-;-;-;-;-;-;-;-;-
RAG;189111;-;-;-;-;-;-;-;-;-;-
RAG;189112;-;-;-;-;-;-;-;-;-;-
RAG;189201;-;-;-;-;-;-;-;-;-;-
RAG;189202;-;-;-;-;-;-;-;-;-;-
RAG;189203;-;-;-;-;-;-;-;-;-;-
RAG;189204;-;-;-;-;-;-;-;-;-;-
RAG;189205;-;-;-;-;-;-;-;-;-;-
RAG;189206;-;-;-;-;-;-;-;-;-;-
RAG;189207;-;-;-;-;-;-;-;-;-;-
RAG;189208;-;-;-;-;-;-;-;-;-;-
RAG;189209;-;-;-;-;-;-;-;-;-;-
RAG;189210;-;-;-;-;-;-;-;-;-;-
RAG;189211;-;-;-;-;-;-;-;-;-;-
RAG;189212;-;-;-;-;-;-;-;-;-;-
RAG;189301;-;-;-;-;-;-;-;-;-;-
RAG;189302;-;-;-;-;-;-;-;-;-;-
RAG;189303;-;-;-;-;-;-;-;-;-;-
RAG;189304;-;-;-;-;-;-;-;-;-;-
RAG;189305;-;-;-;-;-;-;-;-;-;-
RAG;189306;-;-;-;-;-;-;-;-;-;-
RAG;189307;-;-;-;-;-;-;-;-;-;-
RAG;189308;-;-;-;-;-;-;-;-;-;-
RAG;189309;-;-;-;-;-;-;-;-;-;-
RAG;189310;-;-;-;-;-;-;-;-;-;-
RAG;189311;-;-;-;-;-;-;-;-;-;-
RAG;189312;-;-;-;-;-;-;-;-;-;-
RAG;189401;-;-;-;-;-;-;-;-;-;-
RAG;189402;-;-;-;-;-;-;-;-;-;-
RAG;189403;-;-;-;-;-;-;-;-;-;-
RAG;189404;-;-;-;-;-;-;-;-;-;-
RAG;189405;-;-;-;-;-;-;-;-;-;-
RAG;189406;-;-;-;-;-;-;-;-;-;-
RAG;189407;-;-;-;-;-;-;-;-;-;-
RAG;189408;-;-;-;-;-;-;-;-;-;-
RAG;189409;-;-;-;-;-;-;-;-;-;-
RAG;189410;-;-;-;-;-;-;-;-;-;-
RAG;189411;-;-;-;-;-;-;-;-;-;-
RAG;189412;-;-;-;-;-;-;-;-;-;-
RAG;189501;-;-;-;-;-;-;-;-;-;-
RAG;189502;-;-;-;-;-;-;-;-;-;-
RAG;189503;-;-;-;-;-;-;-;-;-;-
RAG;189504;-;-;-;-;-;-;-;-;-;-
RAG;189505;-;-;-;-;-;-;-;-;-;-
RAG;189506;-;-;-;-;-;-;-;-;-;-
RAG;189507;-;-;-;-;-;-;-;-;-;-
RAG;189508;-;-;-;-;-;-;-;-;-;-
RAG;189509;-;-;-;-;-;-;-;-;-;-
RAG;189510;-;-;-;-;-;-;-;-;-;-
RAG;189511;-;-;-;-;-;-;-;-;-;-
RAG;189512;-;-;-;-;-;-;-;-;-;-
RAG;189601;-;-;-;-;-;-;-;-;-;-
RAG;189602;-;-;-;-;-;-;-;-;-;-
RAG;189603;-;-;-;-;-;-;-;-;-;-
RAG;189604;-;-;-;-;-;-;-;-;-;-
RAG;189605;-;-;-;-;-;-;-;-;-;-
RAG;189606;-;-;-;-;-;-;-;-;-;-
RAG;189607;-;-;-;-;-;-;-;-;-;-
RAG;189608;-;-;-;-;-;-;-;-;-;-
RAG;189609;-;-;-;-;-;-;-;-;-;-
RAG;189610;-;-;-;-;-;-;-;-;-;-
RAG;189611;-;-;-;-;-;-;-;-;-;-
RAG;189612;-;-;-;-;-;-;-;-;-;-
RAG;189701;-;-;-;-;-;-;-;-;-;-
RAG;189702;-;-;-;-;-;-;-;-;-;-
RAG;189703;-;-;-;-;-;-;-;-;-;-
RAG;189704;-;-;-;-;-;-;-;-;-;-
RAG;189705;-;-;-;-;-;-;-;-;-;-
RAG;189706;-;-;-;-;-;-;-;-;-;-
RAG;189707;-;-;-;-;-;-;-;-;-;-
RAG;189708;-;-;-;-;-;-;-;-;-;-
RAG;189709;-;-;-;-;-;-;-;-;-;-
RAG;189710;-;-;-;-;-;-;-;-;-;-
RAG;189711;-;-;-;-;-;-;-;-;-;-
RAG;189712;-;-;-;-;-;-;-;-;-;-
RAG;189801;-;-;-;-;-;-;-;-;-;-
RAG;189802;-;-;-;-;-;-;-;-;-;-
RAG;189803;-;-;-;-;-;-;-;-;-;-
RAG;189804;-;-;-;-;-;-;-;-;-;-
RAG;189805;-;-;-;-;-;-;-;-;-;-
RAG;189806;-;-;-;-;-;-;-;-;-;-
RAG;189807;-;-;-;-;-;-;-;-;-;-
RAG;189808;-;-;-;-;-;-;-;-;-;-
RAG;189809;-;-;-;-;-;-;-;-;-;-
RAG;189810;-;-;-;-;-;-;-;-;-;-
RAG;189811;-;-;-;-;-;-;-;-;-;-
RAG;189812;-;-;-;-;-;-;-;-;-;-
RAG;189901;-;-;-;-;-;-;-;-;-;-
RAG;189902;-;-;-;-;-;-;-;-;-;-
RAG;189903;-;-;-;-;-;-;-;-;-;-
RAG;189904;-;-;-;-;-;-;-;-;-;-
RAG;189905;-;-;-;-;-;-;-;-;-;-
RAG;189906;-;-;-;-;-;-;-;-;-;-
RAG;189907;-;-;-;-;-;-;-;-;-;-
RAG;189908;-;-;-;-;-;-;-;-;-;-
RAG;189909;-;-;-;-;-;-;-;-;-;-
RAG;189910;-;-;-;-;-;-;-;-;-;-
RAG;189911;-;-;-;-;-;-;-;-;-;-
RAG;189912;-;-;-;-;-;-;-;-;-;-
RAG;190001;-;-;-;-;-;-;-;-;-;-
RAG;190002;-;-;-;-;-;-;-;-;-;-
RAG;190003;-;-;-;-;-;-;-;-;-;-
RAG;190004;-;-;-;-;-;-;-;-;-;-
RAG;190005;-;-;-;-;-;-;-;-;-;-
RAG;190006;-;-;-;-;-;-;-;-;-;-
RAG;190007;-;-;-;-;-;-;-;-;-;-
RAG;190008;-;-;-;-;-;-;-;-;-;-
RAG;190009;-;-;-;-;-;-;-;-;-;-
RAG;190010;-;-;-;-;-;-;-;-;-;-
RAG;190011;-;-;-;-;-;-;-;-;-;-
RAG;190012;-;-;-;-;-;-;-;-;-;-
RAG;190101;-;-;-;-;-;-;-;-;-;-
RAG;190102;-;-;-;-;-;-;-;-;-;-
RAG;190103;-;-;-;-;-;-;-;-;-;-
RAG;190104;-;-;-;-;-;-;-;-;-;-
RAG;190105;-;-;-;-;-;-;-;-;-;-
RAG;190106;-;-;-;-;-;-;-;-;-;-
RAG;190107;-;-;-;-;-;-;-;-;-;-
RAG;190108;-;-;-;-;-;-;-;-;-;-
RAG;190109;-;-;-;-;-;-;-;-;-;-
RAG;190110;-;-;-;-;-;-;-;-;-;-
RAG;190111;-;-;-;-;-;-;-;-;-;-
RAG;190112;-;-;-;-;-;-;-;-;-;-
RAG;190201;-;-;-;-;-;-;-;-;-;-
RAG;190202;-;-;-;-;-;-;-;-;-;-
RAG;190203;-;-;-;-;-;-;-;-;-;-
RAG;190204;-;-;-;-;-;-;-;-;-;-
