stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
SBE;198011;-;8;66;832.6;59.7;-0.8;-13.0;14.8;68.5;4002
SBE;198012;-;6;51;833.3;19.2;-3.4;-13.7;9.6;51.4;5484
SBE;198101;-;18;49;832.9;51.0;-4.4;-14.3;9.4;47.9;5766
SBE;198102;-;11;49;832.3;9.2;-4.6;-15.4;9.5;57.0;6942
SBE;198103;-;15;73;830.8;245.8;0.6;-11.9;14.3;66.0;7128
SBE;198104;-;4;61;833.9;102.9;3.5;-7.3;14.8;67.4;9534
SBE;198105;-;0;78;833.1;303.5;5.4;-2.3;17.5;71.6;5748
SBE;198106;-;0;61;838.3;147.7;10.4;2.0;24.9;66.2;9918
SBE;198107;-;0;63;838.9;398.2;10.7;2.5;21.1;63.3;9876
SBE;198108;-;0;50;840.2;64.0;12.2;1.6;23.5;68.1;13632
SBE;198109;-;0;80;838.3;497.6;9.2;2.1;17.5;79.2;4722
SBE;198110;-;0;71;833.8;184.6;3.1;-10.5;13.0;80.2;5142
SBE;198111;80;3;33;839.2;20.7;0.1;-11.5;15.5;57.2;7871
SBE;198112;42;47;75;821.2;272.8;-5.7;-16.6;6.0;75.5;2904
SBE;198201;63;95;55;834.3;38.5;-3.1;-14.7;4.9;73.9;5585
SBE;198202;98;94;46;834.9;23.5;-4.5;-18.8;6.1;73.0;5892
SBE;198203;143;110;65;833.3;110.8;-3.4;-12.7;8.7;71.1;6099
SBE;198204;229;59;48;832.8;7.6;0.8;-7.9;9.8;63.0;10340
SBE;198205;218;6;56;839.0;182.3;5.8;-4.6;16.4;69.2;9572
SBE;198206;210;0;64;837.8;191.7;10.6;1.4;19.7;70.8;8842
SBE;198207;221;0;51;840.2;161.9;13.5;5.1;23.8;67.3;10757
SBE;198208;159;0;61;839.1;260.0;10.9;2.5;19.5;76.5;7494
SBE;198209;145;0;55;841.5;254.3;9.9;1.8;19.8;77.9;9911
SBE;198210;93;2;56;834.4;174.6;3.4;-3.0;14.1;76.3;6162
SBE;198211;57;14;66;836.6;233.9;0.6;-7.1;13.8;74.1;4299
SBE;198212;48;67;50;832.4;123.2;-3.1;-13.1;5.5;69.2;4467
SBE;198301;65;63;41;841.7;55.5;-0.2;-10.3;12.4;54.0;5895
SBE;198302;102;69;53;831.1;22.9;-6.4;-15.9;4.7;63.1;5429
SBE;198303;147;63;53;834.1;79.4;0.1;-9.0;10.2;61.1;7454
SBE;198304;126;58;84;831.3;295.7;0.8;-6.4;9.7;79.7;2723
SBE;198305;138;14;80;832.1;508.7;3.6;-1.5;13.7;77.5;3454
SBE;198306;224;0;63;840.4;72.4;9.8;1.6;20.2;67.1;9303
SBE;198307;250;0;36;842.0;35.8;15.2;4.5;31.0;58.0;13743
SBE;198308;167;0;66;840.0;162.4;11.1;3.5;20.1;72.7;6834
SBE;198309;146;0;49;840.0;274.7;9.1;0.0;19.7;67.7;9796
SBE;198310;110;0;39;841.5;58.6;5.5;-4.3;16.1;63.1;9566
SBE;198311;64;2;39;835.5;47.3;0.2;-10.7;11.8;64.0;6721
SBE;198312;49;43;40;834.9;145.9;-3.0;-14.1;10.6;65.2;6310
SBE;198401;57;62;58;830.9;41.1;-5.5;-14.4;9.0;64.6;4064
SBE;198402;93;96;59;832.0;80.6;-6.2;-16.2;6.7;69.7;5154
SBE;198403;146;109;54;829.9;125.1;-3.8;-12.9;4.3;64.9;7549
SBE;198404;217;138;46;833.0;125.8;0.0;-9.9;11.1;62.2;10596
SBE;198405;151;47;83;827.8;372.2;2.1;-10.2;10.9;78.3;2794
SBE;198406;248;3;51;837.0;118.8;8.2;-0.9;19.0;63.2;10551
SBE;198407;237;0;43;840.2;15.3;11.6;2.9;22.2;59.2;12176
SBE;198408;163;0;65;838.8;120.6;10.6;4.1;20.9;70.9;7750
SBE;198409;140;0;55;833.3;370.5;6.4;-1.5;19.3;70.5;7917
SBE;198410;89;0;53;838.5;235.7;4.6;-2.0;16.3;68.8;6798
SBE;198411;57;18;56;832.6;106.2;0.3;-7.9;14.4;74.2;4530
SBE;198412;47;52;46;837.0;98.0;-2.8;-12.5;9.9;68.1;5313
SBE;198501;57;84;53;824.5;194.8;-8.8;-25.1;6.3;65.2;4377
SBE;198502;101;90;50;832.7;14.3;-2.8;-15.7;9.2;59.7;5859
SBE;198503;137;150;66;829.2;221.5;-3.7;-14.7;4.7;69.0;5582
SBE;198504;204;123;58;831.0;144.3;1.2;-6.3;8.8;60.0;7624
SBE;198505;187;27;71;831.9;214.5;4.7;-3.2;17.9;72.6;6302
SBE;198506;204;0;64;835.7;146.5;8.0;0.5;18.8;64.2;8501
SBE;198507;215;0;51;840.2;86.7;12.7;3.8;22.2;68.5;11025
SBE;198508;184;0;45;839.1;243.5;11.1;2.4;21.9;61.7;10072
SBE;198509;178;0;33;842.1;50.8;10.8;1.2;21.4;58.8;12796
SBE;198510;111;0;46;842.0;8.4;5.4;-5.0;17.5;66.1;9315
SBE;198511;64;16;55;829.1;64.1;-3.7;-16.3;6.2;68.5;4981
SBE;198512;47;28;50;835.5;93.8;-0.9;-9.3;10.9;67.3;5307
SBE;198601;59;73;60;827.2;160.1;-5.9;-17.7;7.4;64.4;4986
SBE;198602;102;114;63;823.6;38.6;-8.6;-21.4;0.5;71.0;5102
